UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-EM-DAT-FL-1991-0006,1991-07-30,1991-07-30,0,Riverine flood,"['Andhra Pradesh', ' Maharashtra', ' Orissa', ' Gujarat', ' Madhya Pradesh']",,,,,,,,,,,,,EM-DAT,1991-0527,1991
UEI-EM-DAT-FL-1991-0007,1991-08-15,1991-08-29,14,Riverine flood,"['Haryana', ' Uttar Pradesh', ' Himachal Pradesh', ' Bihar states']",,,,,,,,,,,,,EM-DAT,1991-0532,1991
UEI-EM-DAT-FL-1991-0008,1991-09-14,1991-09-15,1,Riverine flood,['West Bengal state'],,,,,,,,,,,,,EM-DAT,1991-0766,1991
UEI-EM-DAT-FL-1992-0001,1992-09-08,31/09/1992,Diffing the dates,Riverine flood,"['Uttar Pradesh', ' Jammu', ' Madhya Pradesh']",,,,,,,,,,,,,EM-DAT,1992-0083,1992
UEI-EM-DAT-FL-1992-0002,1992-10-08,1992-10-08,0,Riverine flood,"['Vamanapuram', ' Amravilla (Trivadrum district', ' Kerala state)']",,,,,,,,,,,,,EM-DAT,1992-0147,1992
UEI-EM-DAT-FL-1992-0003,1992-07-26,1992-07-31,5,Riverine flood,['Orissa state'],,,,,,,,,,,,,EM-DAT,1992-0333,1992
UEI-EM-DAT-FL-1992-0004,1992-11-10,1992-11-10,0,,"['Tamil Nadu', ' Kerala', ' Karnataka', ' Andhra Pradesh states']",,,,,,,,,,,,,EM-DAT,1992-0483,1992
UEI-EM-DAT-FL-1992-0005,/09/1992,/09/1992,Diffing the dates,Riverine flood,"['Banda', ' Allahbad', ' Kanpur (Uttar Pradesh)']",,,,,,,,,,,,,EM-DAT,1992-0546,1992
UEI-EM-DAT-FL-1993-0001,1993-07-08,1993-07-31,23,,"['Punjab', ' Haryana', ' Himachal Pradesh', '  Gujarat', ' Jammu and Kashmir', ' Rajasthan', ' Madhya Pradesh', ' Chandigarh', ' Assam  states']",,,,,,,,,,,,,EM-DAT,1993-0042,1993
UEI-EM-DAT-FL-1993-0002,1993-10-11,1993-10-21,10,Flash flood,['Karnataka state'],,,,,,,,,,,,,EM-DAT,1993-0218,1993
UEI-EM-DAT-FL-1993-0003,1993-09-09,1993-09-17,8,Riverine flood,['Uttar Pradesh'],,,,,,,,,,,,,EM-DAT,1993-0325,1993
UEI-EM-DAT-FL-1993-0004,/05/1993,/05/1993,Diffing the dates,Riverine flood,"['Tripura', ' Karamganj (Assam)']",,,,,,,,,,,,,EM-DAT,1993-0326,1993
UEI-EM-DAT-FL-1993-0005,/07/1993,/07/1993,Diffing the dates,Riverine flood,['Himachal Pradesh'],,,,,,,,,,,,,EM-DAT,1993-0570,1993
UEI-EM-DAT-FL-1994-0001,/05/1994,/10/1994,Diffing the dates,,"['Assam', ' Arunachal Pradesh', ' Jammu and Kashmir', ' Himachal', ' Punjab', ' Uttar Pradesh', ' Goa', ' Kerala', ' Gujarat states']",,,,,,,,,,,,,EM-DAT,1994-0068,1994
UEI-EM-DAT-FL-1994-0002,1994-08-17,1994-08-17,0,Riverine flood,['New Delhi'],,,,,,,,,,,,,EM-DAT,1994-0763,1994
UEI-EM-DAT-FL-1995-0001,1995-09-01,1995-09-20,19,Riverine flood,"['Bihar', ' Haryana', ' Punjab', ' Rajasthan', ' Himachal Pradesh', ' Jammu and Kasmir', ' Uttar Pradesh', ' West Bengal', ' Maharashtra states']",,,,,,,,,,,,,EM-DAT,1995-0228,1995
UEI-EM-DAT-FL-1995-0002,1995-09-05,1995-09-08,3,Riverine flood,['Sikkim state'],,,,,,,,,,,,,EM-DAT,1995-0485,1995
UEI-EM-DAT-FL-1995-0003,1995-10-23,1995-10-23,0,Riverine flood,['Andhra Pradesh'],,,,,,,,,,,,,EM-DAT,1995-0491,1995
UEI-EM-DAT-FL-1996-0001,1996-08-23,1996-08-23,0,,['Jammu & Kashmir state'],,,,,,,,,,,,,EM-DAT,1996-0181,1996
UEI-EM-DAT-FL-1996-0002,1996-07-11,1996-07-11,0,,['Uttar Pradesh'],,,,,,,,,,,,,EM-DAT,1996-0183,1996
UEI-EM-DAT-FL-1996-0003,1996-10-21,1996-10-25,4,Riverine flood,"['Tamil Nadu', ' Andhra Pradesh', ' Kerala', ' Karnataka states']",,,,,,,,,,,,,EM-DAT,1996-0245,1996
UEI-EM-DAT-FL-1996-0004,1996-07-10,1996-07-24,14,Riverine flood,"['West Bengal', ' Arunachal Pradesh', ' Assam']",,,,,,,,,,,,,EM-DAT,1996-0496,1996
UEI-EM-DAT-FL-1996-0005,1996-08-25,1996-09-01,7,,"['Bihar', ' Assam', ' Gujarat', ' Haryana', ' Kerala', ' Rajasthan', ' Uttar Pradesh']",,,,,,,,,,,,,EM-DAT,1996-0501,1996
UEI-EM-DAT-FL-1996-0006,1996-07-17,1996-08-10,24,Riverine flood,"['Kishanganj', ' Darbhanga', ' Sitamarhi', ' Saharsa districts (Bihar state)']",,,,,,,,,,,,,EM-DAT,1996-0503,1996
UEI-EM-DAT-FL-1997-0001,1997-08-08,1997-08-14,6,Riverine flood,"['Chandigarh', ' Chirgaon', ' Himalayan state of Himachal Pradesh.']",,,,,,,,,,,,,EM-DAT,1997-0170,1997
UEI-EM-DAT-FL-1997-0002,1997-08-22,1997-08-22,0,Coastal flood,['Coastal districts of West Bengal  (no better info)'],,,,,,,,,,,,,EM-DAT,1997-0182,1997
UEI-EM-DAT-FL-1997-0003,/09/1997,/09/1997,Diffing the dates,,"['Andhra Pradesh', ' Arunachal Pradesh', ' Assam', ' Bihar', ' Gujarat', ' Himachal Pradesh', ' Jammu and Kashmir', ' Karnataka', ' Kerala', ' Maharashtra', ' Madyha Pradesh', ' Orissa', ' Punjab', ' Rajasthan', ' Sikkim', ' Uttar Pradesh', ' West Bengal states']",,,,,,,,,,,,,EM-DAT,1997-0260,1997
UEI-EM-DAT-FL-1997-0004,1997-06-22,1997-06-28,6,Riverine flood,"['Mehsana', ' Gandhi Nagar', ' Ahmedabad', ' Kheda', ' Sabarkanda', ' Vadodra', ' Banaskanda', ' Surender Nagar districts (Gujarat state)']",,,,,,,,,,,,,EM-DAT,1997-0337,1997
UEI-EM-DAT-FL-1997-0005,/08/1997,/08/1997,Diffing the dates,,['West'],,,,,,,,,,,,,EM-DAT,1997-0348,1997
UEI-EM-DAT-FL-1997-0006,1997-09-19,1997-09-24,5,Riverine flood,['Guntoor (Guntur) and Prakasham districts (Andhra Pradesh)'],,,,,,,,,,,,,EM-DAT,1997-0357,1997
UEI-EM-DAT-FL-1998-0001,/08/1998,/08/1998,Diffing the dates,,"['Assam', ' Arunachal', ' Bihar', ' Kerala', ' Meghalaya', ' Punjab', ' Sikkim', ' Uttar Pradesh', ' West Bengal states']",,,,,,,,,,,,,EM-DAT,1998-0392,1998
UEI-EM-DAT-FL-1998-0002,1998-09-16,1998-09-18,2,Flash flood,"['Gujarat', ' Maharashtra states']",,,,,,,,,,,,,EM-DAT,1998-0449,1998
UEI-EM-DAT-FL-1998-0003,1998-09-20,1998-09-20,0,,"['Andhra Pradesh', ' Hyderabad']",,,,,,,,,,,,,EM-DAT,1998-0450,1998
UEI-EM-DAT-FL-1999-0001,1999-07-11,1999-08-03,23,Riverine flood,"['Assam', ' Bihar', ' Gujarat', ' Karnataka', ' Kerala', ' Tripura', ' West Bengal', ' Arunachal Pradesh', ' Punjab']",,,,,,,,,,,,,EM-DAT,1999-0213,1999
UEI-EM-DAT-FL-1999-0002,/09/1999,/09/1999,Diffing the dates,,"['Uttar Pradesh', ' Bihar', ' West Bengal', ' Madhya Prasdeh', ' Delhi']",,,,,,,,,,,,,EM-DAT,1999-0371,1999
UEI-EM-DAT-FL-2000-0001,2000-06-10,2000-06-10,0,Flash flood,"['Yingkiang', 'Tuting villages (Upper Siang (70051) district', ' Arunachal Pradesh province)', ' Along', ' Boleng villages (70054 district', ' Arunachal Pradesh province)', ' Pasighat', ' Sika-bamin', ' Komlighat', ' Raneghat (70041 district', ' Arunachal Pradesh province)', ' Tezu', ' Mahadevpur villages (Lohit district', ' Arunachal Pradesh province)', ' Golaghat', ' Nagaon districts (Assam province)', '\r\n\r\n']",,,,,,,,,,,,,EM-DAT,2000-0332,2000
UEI-EM-DAT-FL-2000-0002,/07/2000,/07/2000,Diffing the dates,Flash flood,"['East Siang', ' 70041', ' West Siang', ' 70054', ' Upper Siang (70051)', ' 70045', ' 70050', ' Lower Dibang Valley districts (Arunachal Pradesh province)']",,,,,,,,,,,,,EM-DAT,2000-0444,2000
UEI-EM-DAT-FL-2000-0003,2000-08-02,2000-08-30,28,Riverine flood,"['Katihar', ' Sitamarhi districts (Bihar province)', ' Kinnaur district (Himachal Pradesh province)', ' Bankura', ' Barddhaman', ' Birbhum', ' Haora', ' Hugli', ' Maldah', ' Murshidabad', ' Nadia', ' North 24 Parganas', ' West Midnapore districts (West Bengal province)', ' Pithoragarh', ' Naini Tal districts (Uttarakhand province)', ' Ahmadabad district (Gujarat province)', ' Andhra Pradesh', ' Assam', ' Arunachal Pradesh', ' Madhya Pradesh', ' Punjab', ' Uttar Pradesh', ' Maharashtra', ' Rajasthan', ' Chandigarh', ' Kerala']",,,,,,,,,,,,,EM-DAT,2000-0445,2000
UEI-EM-DAT-FL-2000-0004,2000-08-23,2000-08-31,8,Flash flood,"['Adilabad', ' Cuddapah', ' East Godavari', ' Guntur', ' Hyderabad', ' Karimnagar', ' Khammam', ' Krishna', ' Kurnool', ' Mahbubnagar', ' Medak', ' Nalgonda', ' Nellore', ' Nizamabad', ' Prakasam', ' Rangareddi', ' Vishakhapatnam', ' Warangal', ' West Godavari districts (Andhra Pradesh province)']",,,,,,,,,,,,,EM-DAT,2000-0534,2000
